ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,Start,End,LocationMile,LocationMile_Numeric
01F1906N,0000100119050B,4,120.56813,24.113571,000010,國道1號,0,N,彰化系統,王田,190K+600,190600
01F1839N,0000100118300B,4,120.61725,24.130768,000010,國道1號,0,N,王田,南屯,183K+900,183900
01F1802N,0000100118000B,4,120.62193,24.163706,000010,國道1號,0,N,南屯,臺中,180K+200,180200
01F1774N,0000100117700B,4,120.63561,24.184591,000010,國道1號,0,N,臺中,大雅,177K+400,177400
01F1699N,0000100116900B,4,120.68662,24.231537,000010,國道1號,0,N,大雅,豐原,169K+900,169900
01F1664N,0000100116620B,4,120.691956,24.262648,000010,國道1號,0,N,豐原,臺中系統,166K+400,166400
01F1621N,0000100116200B,4,120.69733,24.301186,000010,國道1號,0,N,臺中系統,后里,162K+100,162100
01F1572N,0000100115700B,4,120.72085,24.339148,000010,國道1號,0,N,后里,三義,157K+200,157200
01F1465N,0000100114600K,4,120.775734,24.420513,000010,國道1號,0,N,三義,銅鑼,146K+500,146500
01F1389N,0000100113800K,4,120.781906,24.48592,000010,國道1號,0,N,銅鑼,苗栗,138K+900,138900
01F1292N,0000100112900K,4,120.83893,24.550442,000010,國道1號,0,N,苗栗,頭屋,129K+200,129200
01F1123N,0000100111200K,4,120.90427,24.679317,000010,國道1號,0,N,頭屋,頭份,112K+300,112300
01F1045N,0000100110400J,4,120.9519,24.72713,000010,國道1號,0,N,頭份,新竹系統,104K+500,104500
01F0979N,0000100109740J,4,120.99989,24.764414,000010,國道1號,0,N,新竹系統,新竹(科學園區),97K+900,97900
01F0956N,0000100109550O,4,121.00372,24.783943,000010,國道1號,0,N,新竹(科學園區),新竹(新竹、竹東),95K+600,95600
01F0928N,0000100109240O,4,121.01031,24.808453,000010,國道1號,0,N,新竹(新竹、竹東),竹北,92K+800,92800
01F0880N,0000100108800J,4,121.01903,24.848719,000010,國道1號,0,N,竹北,湖口,88K+000,88000
01F0750N,0000100107400H,4,121.11173,24.893436,000010,國道1號,0,N,湖口,校前路,75K+000,75000
01F0699N,0000100106960H,4,121.15976,24.903297,000010,國道1號,0,N,校前路,楊梅,69K+900,69900
01F0681N,0000100106800H,4,121.16759,24.917967,000010,國道1號,0,N,楊梅,幼獅,68K+100,68100
01F0664N,0000100106600H,4,121.17692,24.929544,000010,國道1號,0,N,幼獅,平鎮系統,66K+400,66400
01F0633N,0000100106300H,4,121.195595,24.949282,000010,國道1號,0,N,平鎮系統,中壢,63K+300,63300
01F0584N,0000100105800H,4,121.22894,24.980558,000010,國道1號,0,N,中壢,內壢,58K+400,58400
01F0557N,0000100105540H,4,121.24772,24.998583,000010,國道1號,0,N,內壢,中壢服務區,55K+700,55700
01F0532N,0000100105300H,4,121.2662,25.012943,000010,國道1號,0,N,中壢服務區,機場系統,53K+200,53200
01F0511N,0000100105100H,4,121.28173,25.025953,000010,國道1號,0,N,機場系統,桃園(49B),51K+100,51100
01F0492N,0000100104900H,4,121.29553,25.036482,000010,國道1號,0,N,桃園(49B),桃園(49A),49K+200,49200
01F0467N,0000100104600H,4,121.317764,25.047075,000010,國道1號,0,N,桃園(49A),林口(文化北路),46K+700,46700
01F0413N,0000100104100H,4,121.36356,25.064968,000010,國道1號,0,N,林口(文化北路),林口(文化一路),41K+300,41300
01F0376N,0000100103700F,4,121.39731,25.058666,000010,國道1號,0,N,林口(文化一路),高公局,37K+600,37600
01F0340N,0000100103380F,4,121.428055,25.068,000010,國道1號,0,N,高公局,五股,34K+000,34000
01F0293N,0000100102900F,4,121.47296,25.074797,000010,國道1號,0,N,五股,三重,29K+300,29300
01F0256N,0000100102520A,4,121.50911,25.078068,000010,國道1號,0,N,三重,臺北,25K+600,25600
01F0233N,0000101111050A,4,121.5307,25.073019,000010,國道1號,0,N,臺北,圓山,23K+300,23300
01F0213N,0000100102100A,4,121.55036,25.073053,000010,國道1號,0,N,圓山,內湖,21K+300,21300
01F0155N,0000100101550A,4,121.6059,25.064753,000010,國道1號,0,N,內湖,東湖,15K+500,15500
01F0147N,0000100101440A,4,121.61352,25.065643,000010,國道1號,0,N,東湖,汐止&汐止系統,14K+700,14700
01F0099N,0000100100900F,4,121.659424,25.076044,000010,國道1號,0,N,汐止&汐止系統,五堵,9K+900,9900
01F0061N,0000100100600C,4,121.69364,25.088272,000010,國道1號,0,N,五堵,大華系統,6K+100,6100
01F0029N,0000100100270C,4,121.71786,25.102837,000010,國道1號,0,N,大華系統,八堵,2K+900,2900
01F0017N,0000100100160C,4,121.72591,25.109568,000010,國道1號,0,N,八堵,基隆,1K+700,1700
01F0005N,0000100100050C,4,121.731636,25.11831,000010,國道1號,0,N,基隆,基隆端,0K+500,500
01H0608N,00001B0106020H,4,121.21162,24.965878,00001B,國道1號五股楊梅高架道路,0,N,校前路,中壢,60K+800,60800
01H0579N,00001B0105700H,4,121.23298,24.983667,00001B,國道1號五股楊梅高架道路,0,N,中壢,機場系統,57K+900,57900
01H0447N,00001B0104400H,4,121.33207,25.059242,00001B,國道1號五股楊梅高架道路,0,N,機場系統,高公局,44K+700,44700
01H0333N,00001B0103310F,4,121.435135,25.068148,00001B,國道1號五股楊梅高架道路,0,N,高公局,五股(高架),33K+300,33300
01H0271N,00001A0102700F,4,121.49402,25.075256,00001A,國道1號汐止五股高架道路,0,N,五股(高架),環北,27K+100,27100
01H0208N,00001A0102080A,4,121.555016,25.072262,00001A,國道1號汐止五股高架道路,0,N,環北,下塔悠出口匝道,20K+800,20800
01H0200N,00001A0102000A,4,121.562515,25.070993,00001A,國道1號汐止五股高架道路,0,N,下塔悠出口匝道,堤頂,20K+000,20000
01H0174N,00001A0101700A,4,121.58804,25.065544,00001A,國道1號汐止五股高架道路,0,N,堤頂,汐止&汐止系統,17K+400,17400
03A0041N,0000310100410A,4,121.58604,25.003864,000031,國道3甲,0,N,木柵,萬芳,4K+100,4100
03A0015N,0000310100100A,4,121.56238,25.01182,000031,國道3甲,0,N,萬芳,臺北端,1K+500,1500
03F4259N,0000300142600T,4,120.53139,22.477465,000030,國道3號,0,N,林邊,南州,425K+900,425900
03F4232N,0000300142300T,4,120.52577,22.501368,000030,國道3號,0,N,南州,崁頂,423K+200,423200
03F4168N,0000300141700T,4,120.52476,22.557407,000030,國道3號,0,N,崁頂,竹田系統,416K+800,416800
03F4142N,0000300141400T,4,120.52616,22.579586,000030,國道3號,0,N,竹田系統,麟洛,414K+200,414200
03F4021N,0000300140200T,4,120.56331,22.680347,000030,國道3號,0,N,麟洛,長治,402K+100,402100
03F3984N,0000300139800T,4,120.54113,22.704641,000030,國道3號,0,N,長治,屏東,398K+400,398400
03F3916N,0000300139200T,4,120.49684,22.749792,000030,國道3號,0,N,屏東,九如,391K+600,391600
03F3854N,0000300138600E,4,120.44184,22.769197,000030,國道3號,0,N,九如,燕巢系統,385K+400,385400
03F3743N,0000300137400E,4,120.38543,22.845121,000030,國道3號,0,N,燕巢系統,田寮,374K+300,374300
