ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,Start,End,LocationMile,LocationMile_Numeric
01F2425S,0000100024200P,4,120.46228,23.677376,000010,國道1號,0,S,斗南,雲林系統,242K+500,242500
01F2472S,0000100024700P,4,120.443115,23.639557,000010,國道1號,0,S,雲林系統,大林,247K+200,247200
01F2514S,0000100025110Q,4,120.43542,23.60199,000010,國道1號,0,S,大林,民雄,251K+400,251400
01F2603S,0000100026000Q,4,120.40559,23.52674,000010,國道1號,0,S,民雄,嘉義,260K+300,260300
01F2674S,0000100026700Q,4,120.3777,23.469402,000010,國道1號,0,S,嘉義,水上,267K+400,267400
01F2714S,0000100027110Q,4,120.361565,23.436367,000010,國道1號,0,S,水上,嘉義系統,271K+400,271400
01F2827S,0000100028300D,4,120.32219,23.34747,000010,國道1號,0,S,嘉義系統,新營服務區,282K+700,282700
01F2866S,0000100028700D,4,120.298706,23.320993,000010,國道1號,0,S,新營服務區,新營,286K+600,286600
01F2930S,0000100029300D,4,120.26577,23.272589,000010,國道1號,0,S,新營,下營系統,293K+000,293000
01F3019S,0000100030200D,4,120.23642,23.197287,000010,國道1號,0,S,下營系統,麻豆,301K+900,301900
01F3083S,0000100030800D,4,120.23327,23.14075,000010,國道1號,0,S,麻豆,安定,308K+300,308300
01F3126S,0000100031300D,4,120.24768,23.104816,000010,國道1號,0,S,安定,臺南系統,312K+600,312600
01F3185S,0000100031900D,4,120.25302,23.051311,000010,國道1號,0,S,臺南系統,永康,318K+500,318500
01F3227S,0000100032300D,4,120.25,23.014172,000010,國道1號,0,S,永康,大灣,322K+700,322700
01F3252S,0000100032500D,4,120.24818,22.991814,000010,國道1號,0,S,大灣,仁德,325K+200,325200
01F3286S,0000100032900D,4,120.249825,22.960903,000010,國道1號,0,S,仁德,仁德系統,328K+600,328600
01F3366S,0000100033700E,4,120.27215,22.892618,000010,國道1號,0,S,仁德系統,路竹,336K+600,336600
01F3398S,0000100034000E,4,120.28499,22.867418,000010,國道1號,0,S,路竹,高科,339K+800,339800
01F3460S,0000100034600E,4,120.31273,22.818039,000010,國道1號,0,S,高科,岡山,346K+000,346000
01F3525S,0000100035300E,4,120.3308,22.761671,000010,國道1號,0,S,岡山,楠梓(旗楠路),352K+500,352500
01F3561S,0000100035600E,4,120.33376,22.728956,000010,國道1號,0,S,楠梓(旗楠路),楠梓(鳳楠路),356K+100,356100
01F3590S,0000100035900E,4,120.32818,22.703363,000010,國道1號,0,S,楠梓(鳳楠路),鼎金系統,359K+000,359000
01F3640S,0000100036400E,4,120.332085,22.658892,000010,國道1號,0,S,鼎金系統,高雄(九如、建國路),364K+000,364000
01F3676S,0000100036800E,4,120.33622,22.62782,000010,國道1號,0,S,高雄(九如、建國路),高雄(中正、三多路),367K+600,367600
01F3686S,0000100036900E,4,120.33665,22.61912,000010,國道1號,0,S,高雄(中正、三多路),瑞隆路出口匝道,368K+600,368600
01F3736S,0000101076030E,4,120.32315,22.581932,000010,國道1號,0,S,高雄端(中山四路),高雄端(漁港路),373K+600,373600
01H0334S,00001B0003300F,4,121.43328,25.068727,00001B,國道1號五股楊梅高架道路,0,S,五股(高架),高公局,33K+400,33400
01H0447S,00001B0004400H,4,121.331856,25.060125,00001B,國道1號五股楊梅高架道路,0,S,高公局,機場系統,44K+700,44700
01H0579S,00001B0005700H,4,121.23253,24.984095,00001B,國道1號五股楊梅高架道路,0,S,機場系統,中壢,57K+900,57900
01H0610S,00001B0006020H,4,121.20987,24.96525,00001B,國道1號五股楊梅高架道路,0,S,中壢,校前路,61K+000,61000
01H0163S,00001A0001600A,4,121.59873,25.064007,00001A,國道1號汐止五股高架道路,0,S,汐止&汐止系統,堤頂,16K+300,16300
01H0206S,00001A0002000A,4,121.55774,25.07275,00001A,國道1號汐止五股高架道路,0,S,堤頂,環北,20K+600,20600
01H0305S,00001A0003000F,4,121.46066,25.075554,00001A,國道1號汐止五股高架道路,0,S,環北,五股(高架),30K+500,30500
03A0015S,0000310000100A,4,121.56238,25.01182,000031,國道3甲,0,S,臺北端,萬芳,1K+500,1500
03A0041S,0000310000410A,4,121.58604,25.003864,000031,國道3甲,0,S,萬芳,木柵,4K+100,4100
03F0006S,0000300000070C,4,121.70891,25.137106,000030,國道3號,0,S,基金,瑪東系統,0K+600,600
